;Unnamed: 0.1;Unnamed: 0;GV_Key;Date_cal;Ticker Symbol;Company Name;Quarter;Fiscal Data Year and Quarter;Final Date;Date_rep;Assets;Cash;Long-Term Debt;Net Income;EBIT;EBITDA;Revenue;Stockholders Equity;HQ;Share_Price;Share_Price_BD;Div_Per_Share_Ann;Div_Yield;Market_Cap;Beta_1Y;Beta_2Y;Beta_5Y;Rev_1y_Growth;Rev_2y_Growth;Primary Industry;Industry Sector;Industry Group;Industry;Shares_out;EBITDA_Margin;Profit_Margin;Leverage;Debt/Assets;Cash/Assets;ROE;P/B;P/Sales;P/EBITDA;P/EBIT;P/E;Universe;P/EBIT AVG;P/EBITDA AVG;P/Sales AVG;P/E AVG
312;312;312;GV_001919;31.03.2017;AVT;AVNET INC;2017Q1;2017Q3;15.05.2017;27.04.2017;1.305481439;2.645488452;0.632233338;3.223111986;0.907335762;0.770642752;4.384013168;2.198950557;31;0.03808661;35.25345;0.739130435;0.803095012;0.49432389;0.199524874;0.19265551;0.103638001;-1.123754783;-1.889060818;133;7;20;23;0.633760274;-0.606249007;0.025735583;-0.259245129;-0.227175442;0.291517391;0.57959907;-0.494276655;-0.516970708;-0.19013946;-0.195605329;-0.408775089;Value;-0.08;-0.19;-0.47;0.37
336;336;336;GV_001926;28.02.2017;AZZ;AZZ INC;2017Q1;2016Q4;26.04.2017;20.04.2017;-0.178465701;-0.325310618;-0.112998322;-0.074075251;-0.109993885;-0.124089133;-0.171121807;-0.140390927;31;0.289822449;49.03495;0.695652174;0.531872825;-0.137384937;1.376299609;0.662391148;0.45530634;-0.558810984;-0.248562757;18;6;1;7;-0.285240524;0.166111116;0.072752879;0.039068904;-0.306236729;-0.492359406;-0.04757165;0.070986176;0.079093898;0.185859225;0.343855592;0.513207186;Value;0.34;0.28;0.08;0.51
360;360;360;GV_001979;31.03.2017;BCPC;BALCHEM CORP  -CL B;2017Q1;2017Q1;19.05.2017;09.05.2017;-0.184565856;-0.257028513;-0.123616131;-0.032806569;-0.098270597;-0.121674426;-0.220911684;-0.13390927;31;0.851179395;79.76693;0.369565217;0.117394285;0.060392369;1.279737283;-0.157043502;-0.010015794;-0.291720196;-0.662546812;130;8;14;9;-0.233693947;0.524042396;0.473623513;-0.003344682;-0.42108888;-0.281500891;0.065853507;0.813033655;1.239006287;1.162250324;1.279724051;1.140726102;Growth;0.85;0.55;0.88;0.49
384;384;384;GV_002049;31.03.2017;B;BARNES GROUP INC;2017Q1;2017Q1;07.05.2017;28.04.2017;0.025321403;-0.120740673;0.006854208;0.25669679;0.171824135;0.130368514;-0.002577866;0.211348734;31;0.315921582;50.46377;0.52173913;0.372745966;0.114598278;1.042467859;0.53379829;0.479339394;0.024055636;-0.332433527;79;6;1;45;-0.032267028;0.421237599;0.46832241;-0.089734074;-0.34803598;-0.274603535;0.125481165;-0.015084998;0.189671012;0.109176958;0.129574811;0.17066376;Value;0.34;0.28;0.08;0.51
408;408;408;GV_002080;28.02.2017;BSET;BASSETT FURNITURE INDS;2017Q1;2017Q1;31.03.2017;30.03.2017;-0.296973115;-0.292847719;-0.24184982;-0.193624827;-0.241491019;-0.270535717;-0.254972247;-0.318086698;31;-0.253683108;19.28026;0.717391304;1.293551619;-0.32441902;1.129457798;0.361754106;0.197454218;-0.570080064;0.21006417;65;1;4;35;-0.422742877;-0.424970978;-0.271466869;-0.861127498;-0.757283652;0.082691621;-0.203514019;-0.324346055;-0.42455136;-0.143368147;0.053114677;0.172225376;Value;0.15;0.01;-0.36;0.35
432;432;432;GV_002259;31.03.2017;BKH;BLACK HILLS CORP;2017Q1;2017Q1;09.05.2017;03.05.2017;0.741562754;-0.32517509;1.386118087;0.742315328;0.921512945;0.81564308;0.217523387;0.504262577;31;0.376001902;53.75292;1.891304348;1.282531899;0.214214711;-0.726844606;-1.239944673;-0.37029335;0.829570892;0.167073543;98;10;23;50;-0.041472094;1.157045373;0.70927308;0.860261464;0.579183235;-0.566883065;0.360629919;-0.165297778;-0.091888915;-0.441876433;-0.403344531;-0.189878958;Value;-0.28;-0.31;-0.09;-0.07
456;456;456;GV_002312;31.03.2017;RHI;ROBERT HALF INC;2017Q1;2017Q1;07.05.2017;20.04.2017;-0.045034876;0.33596151;-0.241818376;0.767701666;0.713264294;0.49134159;1.009062382;0.141820658;31;0.128384547;40.19689;1;0.976510598;0.572072927;1.166433762;0.546437825;0.119522613;-0.370628922;-0.144103472;74;6;2;56;0.607319237;-0.236060828;0.024080923;-0.869054042;-0.530662686;0.533595468;0.982394819;0.975767481;-0.22334664;0.128626486;-0.012478879;0.095316256;Growth;0.04;0.15;-0.12;0.03
480;480;480;GV_002444;31.03.2017;BC;BRUNSWICK CORP;2017Q1;2017Q1;17.05.2017;27.04.2017;0.205753581;0.370925031;-0.021406023;0.594634944;0.565413135;0.426960808;0.873113274;0.342821113;31;0.340582981;51.81388;0.673913043;0.480359591;0.472412299;1.609292901;0.924860221;0.996062193;-0.348075662;-0.165705278;88;1;4;43;0.289695166;-0.22327354;-0.019931521;-0.406334625;-0.000840515;0.054275635;0.387008597;0.347896884;-0.212847494;0.133675022;0.05160574;0.17651451;Growth;0.05;0.13;-0.22;0.17
504;504;504;GV_002547;31.03.2017;CI;CIGNA GROUP (THE);2017Q1;2017Q1;05.05.2017;05.05.2017;9.89014825;10.68618666;2.101344393;7.368136842;8.777255555;7.047711879;10.8376148;6.872288795;31;2.18315634;152.68718;0;-0.112859854;6.364371384;0.178088317;-0.753891411;-0.697225346;-0.154186081;-0.036985106;62;5;11;31;1.773799174;-0.162802155;-0.009841252;-0.606789742;0.721431965;-0.063741566;0.345060973;0.141700824;-0.2428408;-0.016417933;-0.124728933;0.106088187;Value;-0.09;0.02;-0.32;0
528;528;528;GV_002558;31.03.2017;CNA;CNA FINANCIAL CORP;2017Q1;2017Q1;01.05.2017;01.05.2017;8.895153845;0.439220423;1.056096733;3.073551133;2.436706318;1.761614714;2.073192873;5.574114685;31;-0.060704568;29.84504;3.217391304;3.284482759;1.692895824;-0.11264673;-0.365260759;0.035249288;-0.099013389;-0.445934978;114;4;13;41;1.908424383;0.037929122;0.484617135;-0.708715309;0.794135214;-0.539038842;-0.066957446;-0.479803779;-0.261763841;-0.23291967;-0.31751565;-0.256205879;Value;-0.18;-0.13;-0.23;-0.18
552;552;552;GV_002628;31.03.2017;CWT;CALIFORNIA WATER SERVICE GP;2017Q1;2017Q1;30.04.2017;27.04.2017;0.066259917;-0.323482321;0.022369111;-0.215593285;-0.201872481;-0.15148436;-0.237700174;-0.078095974;31;-0.002346569;33.0399;0.739130435;0.895839924;-0.077324366;-0.36225545;-0.633293721;-0.439251968;-0.22786543;-0.415174833;141;10;23;68;-0.087793204;0.463504339;-0.425804253;-0.124254507;0.610366646;-0.542863708;-0.493678261;0.092115765;0.695118333;0.645134534;2.243229198;14.24686497;Value;2;0.65;1.16;11.06
576;576;576;GV_002820;31.03.2017;CVCO;CAVCO INDUSTRIES INC;2017Q1;2016Q4;23.06.2017;12.06.2017;-0.240468444;-0.003126441;-0.216065522;-0.09163477;-0.143667663;-0.213838614;-0.156430274;-0.209615447;31;1.550466172;118.05;-0.043478261;-0.125988611;-0.195866561;0.918012856;0.56905184;0.713279718;0.021680019;0.668994438;67;1;4;35;-0.437263039;-0.34239669;-0.028137693;-0.574150908;-0.665843682;1.07855727;0.044844385;0.076056236;-0.07728371;0.759057235;0.390470332;0.447441892;Growth;0.09;0.24;-0.14;0.19
600;600;600;GV_002960;31.03.2017;CHE;CHEMED CORP;2017Q1;2017Q1;07.05.2017;26.04.2017;-0.193795241;-0.230316245;-0.172487672;0.149217795;0.073660401;-0.011362825;0.065960513;-0.155233418;31;2.787215312;185.75692;1.086956522;0.162527681;0.131476203;0.145192845;-0.157012332;0.166145769;-0.298580292;-0.166260329;62;5;11;31;-0.372504907;-0.116144418;0.133153808;-0.328971667;-0.383877229;-0.176702254;0.711134871;1.248599657;0.131366711;0.685059413;0.488286845;0.48383583;Growth;0.42;0.52;-0.1;0.44
624;624;624;GV_003007;31.03.2017;EAT;BRINKER INTL INC;2017Q1;2017Q3;18.05.2017;25.04.2017;-0.107306867;-0.331313703;0.430065907;0.308358877;0.333717909;0.35736814;0.499021599;-0.666795921;31;0.11554285;39.49386;1.434782609;1.49449014;-0.015121759;-0.181316378;-0.674968343;-1.048166146;-0.28117588;-0.182324534;122;1;5;34;-0.079099033;-0.039024665;-0.051837087;2.427693585;2.686689538;-0.531221299;-2.298545462;-2.339722315;-0.37874002;-0.388885528;-0.291114773;-0.102022056;Value;-0.32;0.02;-0.36;-0.65
648;648;648;GV_003121;31.03.2017;CLX;CLOROX CO/DE;2017Q1;2017Q3;04.05.2017;03.05.2017;0.43251391;0.789998313;0.462724698;1.955434144;1.724285056;1.35060068;1.211942916;-0.204705318;31;1.401953992;109.91957;3.434782609;1.159996836;2.403717208;-0.546911683;-1.024901132;-0.784942358;-0.229370323;-0.230762404;72;2;12;36;0.636135486;0.248831677;0.506513378;0.177686522;1.209673383;0.127470956;8.333307285;13.52552252;0.349930051;0.472105966;0.273085867;0.286110182;Value;-0.09;0.01;-0.02;0.01
672;672;672;GV_003138;31.03.2017;COKE;COCA COLA CONSOLIDATED INC;2017Q1;2017Q1;24.05.2017;09.05.2017;0.10383108;-0.270467026;0.285982499;-0.294153709;-0.160069184;-0.031257046;0.557930026;-0.227029203;31;2.993570932;197.05404;1.043478261;0.133528419;-0.0589016;0.476998323;-0.004465138;-1.125103447;1.451630154;1.965864371;128;2;10;4;-0.434350043;-0.524452398;-0.557249399;0.493815692;1.049650208;-0.489108945;-0.821633576;0.959053201;-0.405447626;0.158413457;1.493063892;-4.435570029;Growth;1.47;0.17;-0.41;-1.97
696;696;696;GV_003158;31.03.2017;COHU;COHU INC;2017Q1;2017Q1;17.05.2017;27.04.2017;-0.278713479;-0.132558167;-0.23923239;-0.144046504;-0.209875346;-0.254294954;-0.281499816;-0.285914913;31;-0.231739539;20.48158;0.217391304;0.468918064;-0.275957645;1.539169927;0.010683603;-0.088286917;0.057903141;-0.650071076;124;7;18;59;-0.27607131;-0.103425156;0.21894198;-0.816292732;-0.660330655;1.102096286;0.043972074;-0.045270381;0.06963692;0.53684908;0.416826152;0.279978552;Growth;0.31;0.45;0.08;0.17
720;720;720;GV_003362;28.02.2017;CAG;CONAGRA BRANDS INC;2017Q1;2016Q3;04.04.2017;23.03.2017;1.414790594;1.461259638;1.198962461;2.05326938;2.352798925;1.959700645;1.751374255;1.791800464;31;-0.008580098;32.69864;0.826086957;0.919355689;2.512450389;-2.033999441;-1.005918451;-1.00402875;-1.300738228;-1.758998198;107;2;10;27;3.351477561;0.26840184;0.282519252;0.07429137;0.133087634;-0.085327488;0.33929585;0.552936354;0.101176441;0.121578289;0.027404877;0.246628591;Value;0;-0.01;-0.18;0.04
744;744;744;GV_003413;31.03.2017;ED;CONSOLIDATED EDISON INC;2017Q1;2017Q1;08.05.2017;04.05.2017;7.751228222;-0.177298293;7.278388604;4.699903118;6.149212676;6.197141169;3.085295307;7.014084626;31;0.531425105;62.2617;2.956521739;1.718838975;3.583974019;-1.201942426;-1.460739125;-1.212638574;-0.390398885;-0.572415585;98;10;23;50;2.216753758;1.109099605;0.539099486;0.199768218;0.500199899;-0.569678781;0.026974551;-0.278503572;-0.024392731;-0.381767436;-0.320432624;-0.066788893;Value;-0.27;-0.34;0.01;-0.09
768;768;768;GV_003439;31.03.2017;CMS;CMS ENERGY CORP;2017Q1;2017Q1;01.05.2017;01.05.2017;3.276263476;0.795313129;4.440345951;2.298492766;2.792916949;3.394253795;1.58853917;1.84442361;31;0.072074373;37.11414;1.402173913;1.427159127;1.705033625;-1.010424818;-1.297547291;-1.128146987;-0.182341165;-0.583161628;98;10;23;50;1.981921501;1.119679935;0.43996978;0.620069678;0.820876173;-0.428006655;0.410192343;0.136658368;-0.047206356;-0.40119046;-0.260540397;-0.034415201;Value;-0.27;-0.34;0.01;-0.09
792;792;792;GV_003650;31.03.2017;CMI;CUMMINS INC;2017Q1;2017Q1;02.05.2017;02.05.2017;2.274073518;3.157749069;0.557055637;4.801550117;3.085801246;2.903320365;4.541396166;3.415439518;31;1.846499956;134.25663;4.413043478;1.220368027;4.039219409;0.731092789;0.094734176;0.142573489;-0.650755403;-0.709261443;28;6;1;45;0.983436259;-0.1642354;0.244163176;-0.518696028;-0.094534893;0.062490889;0.572866673;0.385623194;-0.124058136;0.24146041;0.217912443;0.016123551;Value;0.15;0.23;-0.12;0.02
816;816;816;GV_003734;31.03.2017;DAN;DANA INC;2017Q1;2017Q1;16.05.2017;02.05.2017;0.543124624;0.768739046;0.58089195;0.722964281;0.893126916;0.82541608;1.451595078;0.194063464;31;-0.282257861;17.71591;0.217391304;0.503875356;0.106557296;1.153060369;1.11197522;0.427296069;-0.26149148;-0.649645106;13;1;0;2;0.778182112;-0.193641701;-0.122944934;0.200463907;0.727004542;0.027550306;0.789971478;-0.005507092;-0.467737304;-0.484816758;-0.431411141;-0.223555486;Value;-0.34;-0.39;-0.4;-0.21
840;840;840;GV_003863;31.03.2017;DLX;DELUXE CORP;2017Q1;2017Q1;18.05.2017;27.04.2017;0.019738323;-0.128104351;0.113624659;0.495097121;0.451734449;0.379443019;0.153585475;0.055932825;31;0.440445473;57.28094;1.260869565;0.748998207;0.205402448;0.956092789;0.482040093;0.281327396;-0.19128496;-0.091786699;23;6;2;10;-0.084745763;0.536934122;0.511231289;0.262218499;0.091887893;-0.2796283;0.771125684;0.470422746;-0.045637707;-0.219051664;-0.199786241;-0.071584948;Value;0.12;0.11;-0.08;0.29
864;864;864;GV_003897;31.03.2017;DTE;DTE ENERGY CO;2017Q1;2017Q1;30.04.2017;26.04.2017;5.037667968;-0.137437169;5.720913803;4.852373616;4.352327935;4.444622995;3.093854313;4.547758576;31;0.707618272;71.90755;3.543478261;1.539992618;2.705246392;-1.143068753;-1.13840759;-1.014299182;0.288287631;-0.434582252;98;10;23;50;1.086511486;0.580341241;0.568772607;0.406190566;0.495464933;-0.560821653;0.329683552;-0.184586796;-0.217493576;-0.414378284;-0.345812911;-0.244499693;Value;-0.27;-0.34;0.01;-0.09
888;888;888;GV_003969;31.03.2017;DIOD;DIODES INC;2017Q1;2017Q1;09.05.2017;09.05.2017;-0.084226377;0.349184774;-0.039109303;-0.214513286;-0.214981032;-0.135460521;-0.115448684;0.020621567;31;-0.172768526;23.71;-0.043478261;-0.125988611;-0.18190114;1.200377306;0.333295669;0.156445242;0.112491994;-0.172979026;125;7;18;59;-0.084817467;-0.102658847;-0.461694095;0.036681677;-0.326816282;0.727416212;-0.499847443;-0.382271208;-0.129375208;0.141949223;1.860213095;9.383616097;Growth;1.96;0.82;0.67;2.42
912;912;912;GV_004066;31.03.2017;OMC;OMNICOM GROUP INC;2017Q1;2017Q1;10.05.2017;18.04.2017;3.379059484;6.134577798;2.250194558;2.84230421;3.012184383;2.471755629;3.469808642;0.953464605;31;0.603387232;66.20133;2.347826087;1.263181483;2.822404451;-0.525796534;-0.219789211;0.21029529;-0.29931009;-0.372564997;0;0;15;47;1.584857801;-0.091112691;0.07983429;-0.099080209;1.07212061;0.254520707;1.357942848;1.657446468;-0.181885217;0.024817321;-0.065719634;0.09494032;Value;-0.04;0.08;0.16;0.17
936;936;936;GV_004093;31.03.2017;DUK;DUKE ENERGY CORP;2017Q1;2017Q1;10.05.2017;09.05.2017;22.09932867;1.977859803;23.60474119;8.867430078;10.93826672;12.67632074;5.761054491;20.67153149;31;0.53838508;62.64273;3.673913043;2.070099125;9.063204676;-0.903535495;-1.289162494;-1.042673223;-0.072836308;-0.497399813;45;10;23;21;5.756267422;1.351031223;0.580679568;0.353425871;0.476234964;-0.530447208;-0.167945754;-0.369666064;0.154742028;-0.311521312;-0.182713858;0.063304646;Value;-0.27;-0.43;-0.13;-0.16
960;960;960;GV_004108;31.03.2017;FLS;FLOWSERVE CORP;2017Q1;2017Q1;01.05.2017;01.05.2017;0.438400208;0.510393788;0.507125663;0.012083287;0.183484096;0.157158637;0.558589069;0.444330035;31;0.181142124;43.08515;0.782608696;0.681087209;0.694384056;1.063485187;0.639200483;0.565795337;-1.061359613;-1.062228626;79;6;1;45;0.65235863;-0.314271495;-0.315199129;0.23530984;0.304932829;-0.049323908;-0.292640584;0.483872046;0.037222398;0.991620234;1.011080503;2.54181529;Value;1.01;0.73;-0.09;2.54
984;984;984;GV_004321;31.03.2017;EMR;EMERSON ELECTRIC CO;2017Q1;2017Q2;04.05.2017;02.05.2017;2.549010586;13.03533556;1.693084148;3.480139129;5.009338655;4.29620126;3.455472307;3.712852436;31;0.301817872;49.69165;2.043478261;1.585178741;5.894143592;0.741182225;0.450682823;0.173324158;0.504227163;-1.885401355;46;6;1;22;5.250750657;0.405559248;0.204216587;-0.099537089;-0.055012803;1.636569741;0.224626613;0.778576253;0.285794905;0.23364599;0.126062745;0.574643984;Value;0.15;0.23;-0.12;0.02
1015;1015;1015;GV_004383;31.03.2017;ATO;ATMOS ENERGY CORP;2017Q1;2017Q2;11.05.2017;03.05.2017;1.391775868;-0.234690339;0.931650895;1.86301161;1.97895191;1.754987113;0.688972684;1.55154816;31;0.651066984;68.8116;1.913043478;1.058710324;1.01414867;-0.698504751;-0.93988428;-0.8511242;-0.844941937;-1.929566625;57;10;23;28;0.431625272;1.184799235;0.94357356;-0.090754829;0.266055202;-0.546902844;0.364380232;-0.093438575;0.126663703;-0.28940545;-0.28089722;-0.116630413;Value;-0.28;-0.39;0;-0.15
1039;1039;1039;GV_004390;28.02.2017;EBF;ENNIS INC;2017Q1;2016Q4;16.06.2017;25.04.2017;-0.287830412;-0.141513633;-0.227006897;-0.152038499;-0.201310459;-0.24259818;-0.275642246;-0.282844035;31;-0.375779237;12.596;0.717391304;2.032347358;-0.298383696;1.097330911;0.037692622;-0.235759172;-0.791399966;-0.621402052;23;6;2;10;-0.289614499;-0.019485869;0.1098607;-0.547653543;-1.085142724;1.305748557;-0.021819433;-0.251248508;-0.245053377;-0.161689008;-0.146440903;-0.031449489;Value;0.04;0.15;-0.12;0.03
1063;1063;1063;GV_004448;31.03.2017;ESCA;ESCALADE INC;2017Q1;2017Q1;21.04.2017;20.04.2017;-0.317781986;-0.348605459;-0.230556986;-0.212340581;-0.262610351;-0.299751964;-0.334170868;-0.359195716;31;-0.420885097;10.12664;0.456521739;1.711404619;-0.339085921;0.894647848;-0.020751593;-1.006781274;-0.018363215;0.126032048;88;1;4;43;-0.389552654;-0.340907713;-0.127592887;-0.317992111;-0.845890522;-0.44754824;-0.247126864;-0.212389575;-0.159559679;0.514478242;0.577625156;0.520938039;Value;0.15;0.01;-0.36;0.35
1087;1087;1087;GV_004494;31.03.2017;EXPD;EXPEDITORS INTL WASH INC;2017Q1;2017Q1;05.05.2017;02.05.2017;0.143640729;2.716733567;-0.242221565;0.955024379;0.878197733;0.585891943;1.284835688;0.587569932;31;0.305171184;49.87523;0.826086957;0.65451334;1.225890108;-0.450964226;-0.528655199;-0.522506737;-0.517655437;-0.675429156;4;6;22;1;1.096030259;-0.278108708;0.018570583;-0.870617467;-0.742407165;2.446810752;0.4649463;0.862889914;-0.031739435;0.69639195;0.373847388;0.434497742;Growth;0.37;0.47;-0.12;0.4
